pair_id,split,scenario,ground_truth,text_similarity,location_similarity,image_similarity,fused_score,decision,predicted_duplicate
PAIR_0125,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0289,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0060,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0248,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0459,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0195,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0469,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0004,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0215,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0303,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0175,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0471,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0391,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0109,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0031,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0466,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0002,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0435,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0293,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0233,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0105,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0247,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0267,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0394,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0442,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0429,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0015,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0358,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0114,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0139,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.792,0.0,0.638,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0483,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0428,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0286,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0378,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0395,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0393,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0402,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0076,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0427,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0320,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0241,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0445,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0136,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7918,0.0,0.6379,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0042,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0262,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0454,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0290,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0020,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0341,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0275,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0334,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0414,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0485,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0005,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0131,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7918,0.0,0.6379,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0153,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7919,0.0,0.638,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0196,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0052,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0277,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0234,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0026,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0203,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0097,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0385,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0126,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0245,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0102,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0048,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0051,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0182,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0359,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0201,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4939,0.0,0.4646,LOW_CONFIDENCE,0
PAIR_0296,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0194,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0080,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0106,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0036,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0123,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0440,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0058,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0257,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0050,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0010,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0173,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0349,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0047,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0172,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0304,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0343,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0301,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0397,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0230,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0133,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7918,0.0,0.6379,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0206,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0276,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0472,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0366,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0111,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0387,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0003,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0138,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7918,0.0,0.6379,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0372,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0365,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0127,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0073,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0236,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0481,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0091,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0056,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0179,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0118,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0444,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0259,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0302,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0006,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0193,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0269,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0220,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0489,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0438,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0217,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0213,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0049,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0353,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,0,1.0,0.0,1.0,0.35,LOW_CONFIDENCE,0
PAIR_0227,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0084,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0200,DEV,NEAR_DUPLICATE_220M_DECAY,1,0.4287,0.4938,0.0,0.4645,LOW_CONFIDENCE,0
PAIR_0424,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0108,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0420,DEV,SAME_DEPT_DIFF_LOC_800M,0,0.5991,0.0,0.5,0.3047,LOW_CONFIDENCE,0
PAIR_0099,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0214,DEV,NEAR_DUPLICATE_VISUAL_HASH,1,0.5085,1.0,0.5,0.7276,MEDIUM_CONFIDENCE_REVIEW,0
PAIR_0013,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0436,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0498,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0271,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0449,DEV,DIFFERENT_ISSUE_SAME_WARD,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0480,DEV,DISTANT_NON_DUPLICATE,0,0.1226,0.0,0.5,0.1618,LOW_CONFIDENCE,0
PAIR_0032,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0120,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,1,0.833,1.0,0.0,0.9249,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0062,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,1,0.3669,1.0,1.0,0.8101,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0297,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,0,0.0,0.0,0.0,0.0,DIFFERENT_DEPARTMENT,0
PAIR_0028,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,1,1.0,1.0,1.0,1.0,HIGH_CONFIDENCE_DUPLICATE,1
PAIR_0144,DEV,NEAR_DUPLICATE_120M_DECAY,1,0.4498,0.7919,0.0,0.638,MEDIUM_CONFIDENCE_REVIEW,0
