pair_id,split,scenario,complaint_a_id,complaint_b_id,category_a,category_b,department_a,department_b,title_a,title_b,desc_a,desc_b,lat_a,lng_a,lat_b,lng_b,image_a,image_b,ground_truth,annotation_source
PAIR_0380,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0380,CP-DEV-B0380,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0694,80.1948,13.046877,80.171679,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0307,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,CP-DEV-A0307,CP-DEV-B0307,roads,roads,roads,roads,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0067,80.202,13.051745,80.248231,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0408,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0408,CP-DEV-B0408,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0067,80.202,13.013907,80.194603,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0335,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,CP-DEV-A0335,CP-DEV-B0335,roads,roads,roads,roads,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0339,80.2696,13.078945,80.223364,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0495,DEV,DISTANT_NON_DUPLICATE,CP-DEV-A0495,CP-DEV-B0495,infrastructure,infrastructure,infrastructure,infrastructure,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0694,80.1948,13.15949,80.102314,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0389,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0389,CP-DEV-B0389,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0418,80.2341,13.064323,80.210981,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0434,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0434,CP-DEV-B0434,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0067,80.202,12.995889,80.213095,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0244,DEV,NEAR_DUPLICATE_VISUAL_HASH,CP-DEV-A0244,CP-DEV-B0244,streetlights,streetlights,streetlights,streetlights,Dark streetlight non functional on 2nd main street,Streetlight dark on 2nd main road,Lamp turned off completely making road unsafe at night.,Lamp broken and unlit making area unsafe after evening.,13.0012,80.2565,13.001335,80.256361,civic_roads_001.jpg,trans_civic_roads_001.jpg,1,ground_truth_verified_same_issue
PAIR_0249,DEV,NEAR_DUPLICATE_VISUAL_HASH,CP-DEV-A0249,CP-DEV-B0249,streetlights,streetlights,streetlights,streetlights,Dark streetlight non functional on 2nd main street,Streetlight dark on 2nd main road,Lamp turned off completely making road unsafe at night.,Lamp broken and unlit making area unsafe after evening.,13.0012,80.2565,13.001335,80.256639,civic_infrastructure_051.jpg,trans_civic_infrastructure_051.jpg,1,ground_truth_verified_same_issue
PAIR_0202,DEV,NEAR_DUPLICATE_220M_DECAY,CP-DEV-A0202,CP-DEV-B0202,garbage,garbage,garbage,garbage,Uncollected garbage pile outside market gate,Accumulated waste dump near market entrance,Trash dumping uncleaned for 4 days creating foul smell.,Garbage pile uncleaned for days creating health hazard.,13.0418,80.2341,13.039818,80.232066,,,1,ground_truth_verified_same_issue
PAIR_0462,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0462,CP-DEV-B0462,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0339,80.2696,13.023089,80.258503,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0112,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0112,CP-DEV-B0112,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,12.975,80.221,12.975315,80.220676,,,1,ground_truth_verified_same_issue
PAIR_0295,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0295,CP-DEV-B0295,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,13.0827,80.2707,13.0827,80.2707,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0401,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0401,CP-DEV-B0401,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0012,80.2565,12.993993,80.249103,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0254,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0254,CP-DEV-B0254,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,12.9249,80.1,12.9249,80.1,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0007,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0007,CP-DEV-B0007,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,12.975,80.221,12.975,80.221,civic_water_031.jpg,civic_water_031.jpg,1,ground_truth_verified_same_issue
PAIR_0455,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0455,CP-DEV-B0455,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,12.9249,80.1,12.914089,80.111092,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0382,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0382,CP-DEV-B0382,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0339,80.2696,13.011377,80.292718,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0092,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0092,CP-DEV-B0092,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,13.0067,80.202,13.006385,80.201676,,,1,ground_truth_verified_same_issue
PAIR_0371,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0371,CP-DEV-B0371,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0827,80.2707,13.060177,80.293823,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0142,DEV,NEAR_DUPLICATE_120M_DECAY,CP-DEV-A0142,CP-DEV-B0142,drainage,drainage,drainage,drainage,Overflowing sewage drain near bus terminal,Clogged sewer pipe overflowing on street,Stinking drain water standing on public walkway.,Stinking drain water spilling near bus stand area.,12.975,80.221,12.976081,80.219891,,,1,ground_truth_verified_same_issue
PAIR_0356,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0356,CP-DEV-B0356,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,12.9249,80.1,12.947423,80.123108,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0055,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,CP-DEV-A0055,CP-DEV-B0055,roads,roads,roads,roads,Large pothole near main college gate,Deep road damage near college entrance,Deep crater on Anna Salai creating hazard for two wheelers.,Severe broken pavement surface creating danger for vehicles.,13.0418,80.2341,13.04189,80.234008,civic_water_032.jpg,civic_water_032.jpg,1,ground_truth_verified_same_issue
PAIR_0369,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0369,CP-DEV-B0369,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0418,80.2341,13.064323,80.257219,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0412,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0412,CP-DEV-B0412,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0339,80.2696,13.026693,80.262202,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0441,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0441,CP-DEV-B0441,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0694,80.1948,13.058589,80.183702,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0474,DEV,DISTANT_NON_DUPLICATE,CP-DEV-A0474,CP-DEV-B0474,infrastructure,infrastructure,infrastructure,infrastructure,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0694,80.1948,12.97931,80.102314,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0273,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0273,CP-DEV-B0273,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,13.0067,80.202,13.0067,80.202,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0125,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0125,CP-DEV-B0125,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,13.0012,80.2565,13.000885,80.256824,,,1,ground_truth_verified_same_issue
PAIR_0289,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0289,CP-DEV-B0289,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,13.0339,80.2696,13.0339,80.2696,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0060,DEV,NEAR_DUPLICATE_REPHRASED_SAME_LOC,CP-DEV-A0060,CP-DEV-B0060,roads,roads,roads,roads,Large pothole near main college gate,Deep road damage near college entrance,Deep crater on Anna Salai creating hazard for two wheelers.,Severe broken pavement surface creating danger for vehicles.,13.0418,80.2341,13.04189,80.234192,civic_roads_003.jpg,civic_roads_003.jpg,1,ground_truth_verified_same_issue
PAIR_0248,DEV,NEAR_DUPLICATE_VISUAL_HASH,CP-DEV-A0248,CP-DEV-B0248,streetlights,streetlights,streetlights,streetlights,Dark streetlight non functional on 2nd main street,Streetlight dark on 2nd main road,Lamp turned off completely making road unsafe at night.,Lamp broken and unlit making area unsafe after evening.,13.0694,80.1948,13.069535,80.194939,civic_water_031.jpg,trans_civic_water_031.jpg,1,ground_truth_verified_same_issue
PAIR_0459,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0459,CP-DEV-B0459,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0067,80.202,12.995889,80.190905,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0195,DEV,NEAR_DUPLICATE_220M_DECAY,CP-DEV-A0195,CP-DEV-B0195,garbage,garbage,garbage,garbage,Uncollected garbage pile outside market gate,Accumulated waste dump near market entrance,Trash dumping uncleaned for 4 days creating foul smell.,Garbage pile uncleaned for days creating health hazard.,13.0694,80.1948,13.071382,80.192765,,,1,ground_truth_verified_same_issue
PAIR_0469,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0469,CP-DEV-B0469,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0418,80.2341,13.052611,80.223003,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0004,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0004,CP-DEV-B0004,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0067,80.202,13.0067,80.202,civic_roads_002.jpg,civic_roads_002.jpg,1,ground_truth_verified_same_issue
PAIR_0215,DEV,NEAR_DUPLICATE_VISUAL_HASH,CP-DEV-A0215,CP-DEV-B0215,streetlights,streetlights,streetlights,streetlights,Dark streetlight non functional on 2nd main street,Streetlight dark on 2nd main road,Lamp turned off completely making road unsafe at night.,Lamp broken and unlit making area unsafe after evening.,13.0067,80.202,13.006835,80.201861,civic_drainage_011.jpg,trans_civic_drainage_011.jpg,1,ground_truth_verified_same_issue
PAIR_0303,DEV,SAME_TEXT_FAR_LOC_5KM_SAFEGUARD,CP-DEV-A0303,CP-DEV-B0303,roads,roads,roads,roads,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0694,80.1948,13.024355,80.241043,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0175,DEV,NEAR_DUPLICATE_220M_DECAY,CP-DEV-A0175,CP-DEV-B0175,garbage,garbage,garbage,garbage,Uncollected garbage pile outside market gate,Accumulated waste dump near market entrance,Trash dumping uncleaned for 4 days creating foul smell.,Garbage pile uncleaned for days creating health hazard.,12.9249,80.1,12.922918,80.102034,,,1,ground_truth_verified_same_issue
PAIR_0471,DEV,DISTANT_NON_DUPLICATE,CP-DEV-A0471,CP-DEV-B0471,infrastructure,infrastructure,infrastructure,infrastructure,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0694,80.1948,13.15949,80.287286,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0391,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0391,CP-DEV-B0391,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0067,80.202,13.013907,80.194603,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0109,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0109,CP-DEV-B0109,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,13.0418,80.2341,13.041485,80.233776,,,1,ground_truth_verified_same_issue
PAIR_0031,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0031,CP-DEV-B0031,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0418,80.2341,13.0418,80.2341,civic_water_031.jpg,civic_water_031.jpg,1,ground_truth_verified_same_issue
PAIR_0466,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0466,CP-DEV-B0466,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0827,80.2707,13.093511,80.281799,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0002,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0002,CP-DEV-B0002,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0012,80.2565,13.0012,80.2565,civic_water_031.jpg,civic_water_031.jpg,1,ground_truth_verified_same_issue
PAIR_0435,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0435,CP-DEV-B0435,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0694,80.1948,13.058589,80.205898,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0293,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0293,CP-DEV-B0293,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,12.975,80.221,12.975,80.221,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0233,DEV,NEAR_DUPLICATE_VISUAL_HASH,CP-DEV-A0233,CP-DEV-B0233,streetlights,streetlights,streetlights,streetlights,Dark streetlight non functional on 2nd main street,Streetlight dark on 2nd main road,Lamp turned off completely making road unsafe at night.,Lamp broken and unlit making area unsafe after evening.,13.0012,80.2565,13.001335,80.256361,civic_roads_003.jpg,trans_civic_roads_003.jpg,1,ground_truth_verified_same_issue
PAIR_0105,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0105,CP-DEV-B0105,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,13.0418,80.2341,13.042115,80.233776,,,1,ground_truth_verified_same_issue
PAIR_0247,DEV,NEAR_DUPLICATE_VISUAL_HASH,CP-DEV-A0247,CP-DEV-B0247,streetlights,streetlights,streetlights,streetlights,Dark streetlight non functional on 2nd main street,Streetlight dark on 2nd main road,Lamp turned off completely making road unsafe at night.,Lamp broken and unlit making area unsafe after evening.,13.0694,80.1948,13.069265,80.194661,civic_drainage_011.jpg,trans_civic_drainage_011.jpg,1,ground_truth_verified_same_issue
PAIR_0267,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0267,CP-DEV-B0267,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,12.975,80.221,12.975,80.221,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0394,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0394,CP-DEV-B0394,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,12.9249,80.1,12.932107,80.107395,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0442,DEV,DIFFERENT_ISSUE_SAME_WARD,CP-DEV-A0442,CP-DEV-B0442,drainage,drainage,drainage,drainage,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0012,80.2565,12.990389,80.267595,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0429,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0429,CP-DEV-B0429,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0339,80.2696,13.026693,80.276998,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0015,DEV,EXACT_DUPLICATE_SAME_LOC_SAME_TEXT,CP-DEV-A0015,CP-DEV-B0015,roads,roads,roads,roads,Large pothole near main college gate,Large pothole near main college gate,Deep crater on Anna Salai creating hazard for two wheelers.,Deep crater on Anna Salai creating hazard for two wheelers.,13.0067,80.202,13.0067,80.202,civic_roads_002.jpg,civic_roads_002.jpg,1,ground_truth_verified_same_issue
PAIR_0358,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0358,CP-DEV-B0358,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0339,80.2696,13.011377,80.246482,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
PAIR_0114,DEV,NEAR_DUPLICATE_CLOSE_LOC_TYPO,CP-DEV-A0114,CP-DEV-B0114,water,water,water,water,Major water pipeline burst on 4th Cross Road,Major water pipelne burst on 4th Cros Road,Drinking water flowing onto street causing low supply pressure.,Drinkng water flowing onto street causing low supply.,12.975,80.221,12.975315,80.221324,,,1,ground_truth_verified_same_issue
PAIR_0139,DEV,NEAR_DUPLICATE_120M_DECAY,CP-DEV-A0139,CP-DEV-B0139,drainage,drainage,drainage,drainage,Overflowing sewage drain near bus terminal,Clogged sewer pipe overflowing on street,Stinking drain water standing on public walkway.,Stinking drain water spilling near bus stand area.,12.975,80.221,12.976081,80.222109,,,1,ground_truth_verified_same_issue
PAIR_0483,DEV,DISTANT_NON_DUPLICATE,CP-DEV-A0483,CP-DEV-B0483,infrastructure,infrastructure,infrastructure,infrastructure,Broken public park bench near children play area,Damaged rainwater storm drain near north gate,Concrete bench cracked and unsafe.,Drainage grill broken causing open pit.,13.0694,80.1948,13.15949,80.287286,civic_infrastructure_051.jpg,civic_drainage_011.jpg,0,ground_truth_verified_different_issue
PAIR_0428,DEV,SAME_DEPT_DIFF_LOC_800M,CP-DEV-A0428,CP-DEV-B0428,garbage,garbage,garbage,garbage,Garbage overflow near market entrance,Garbage dump near residential block B,Trash uncollected for days.,Trash uncollected for days.,13.0067,80.202,12.999493,80.194603,civic_garbage_021.jpg,civic_garbage_022.jpg,0,ground_truth_verified_different_issue
PAIR_0286,DEV,DIFFERENT_DEPT_SAME_LOC_SAFEGUARD,CP-DEV-A0286,CP-DEV-B0286,roads,streetlights,roads,streetlights,Large pothole on street,Streetlight dark and unlit,Deep road crater creating hazard,Lamp non functional on pole,13.0339,80.2696,13.0339,80.2696,civic_roads_001.jpg,civic_roads_001.jpg,0,ground_truth_verified_different_issue
PAIR_0378,DEV,SAME_TEXT_FAR_LOC_2KM_SAFEGUARD,CP-DEV-A0378,CP-DEV-B0378,water,water,water,water,Deep crater pothole on main road,Deep crater pothole on main road,Road surface severely damaged near junction.,Road surface severely damaged near junction.,13.0827,80.2707,13.105223,80.293823,civic_roads_002.jpg,civic_roads_002.jpg,0,ground_truth_verified_different_issue
